Increment,Accuracy,Precision,Recall,F1 Score,ROC AUC
0,0.29423076923076924,0.5184404636459431,0.053420195439739415,0.09685992715818487,0.3837354143568852
10,0.7122307692307692,0.7248211789854476,0.9572204125950055,0.824966078697422,0.7175231837597655
20,0.7953846153846154,0.8440126050420168,0.8724212812160695,0.8579818473037907,0.8541758126849615
30,0.8376923076923077,0.8711836051861146,0.9046688382193269,0.8876105251944179,0.8994614663996632
40,0.8424615384615385,0.8629637137644436,0.9244299674267101,0.8926399664499896,0.90502704413867
50,0.8598461538461538,0.888269918015556,0.9175895765472313,0.9026917325357829,0.917413059110351
60,0.8646923076923076,0.8715468235763438,0.9488599348534202,0.9085616260331653,0.9268261382746185
70,0.8762307692307693,0.9110870740941049,0.9145494028230184,0.9128149552966676,0.932896172280331
80,0.8773846153846154,0.9100796898556968,0.9175895765472313,0.9138192041522492,0.9364599537613986
90,0.8806923076923077,0.9040835707502374,0.9302931596091205,0.9170011237758869,0.936264084295205
100,0.8852307692307693,0.9018117451062058,0.9403908794788274,0.9206973530349739,0.9437511423570226
